store,name,price,old_price,promotion
Pick n Pay,"Parmalat Smooth Strawberry, Granadilla & Fruit Cocktail Yoghurt 6 x 100g",25.99,,2 For R36.00 (Smart Price)
Pick n Pay,Mooi River Salted Butter 500g,89.99,,2 For R140.00
Pick n Pay,Protex Fresh Antigerm Bar Soap 175g,18.99,,2 For R27.00 (Smart Price)
Pick n Pay,Lay's Spring Onion & Cheese Flavoured Potato Chips 120g,23.99,,
Pick n Pay,Knorr Rich Oxtail Thickening Soup 50g,7.99,,4 For R22.00 (Smart Price)
Pick n Pay,PnP Dessert Topped Buns 6 Pack,19.99,23.99,
Pick n Pay,PnP Sausage Roll,27.99,31.49,
Pick n Pay,Stork Baking Margarine 500g,38.99,,
Pick n Pay,Knorr Cream of Chicken Thickening Soup 50g,7.99,,4 For R22.00 (Smart Price)
Pick n Pay,Nestle Aero Duet Choc 40g,15.99,,
Pick n Pay,Lucky Star Pilchards in Sweet Chilli 400g,29.99,,
Pick n Pay,I&J Beefers Beef Patties 800g,110.99,,
Pick n Pay,PnP Beef Short Ribs,149.99,,
Pick n Pay,Clover Traditional Plain Feta Cheese 400g,72.99,,
Pick n Pay,Sparletta Sparberry 2L,17.99,,2 For R28.00
Pick n Pay,PnP Slicing Tomatoes 2 Pack,12.99,,Combo For R119.99 (Smart Price)
Pick n Pay,Today Puff Pastry 400g,27.99,,2 For R50.00 (Smart Price)
Pick n Pay,Nestle Aero Milk 40g,15.99,,
Pick n Pay,Dettol Skin Detox Hygiene Bar Soap 175g,18.99,,2 For R28.00
Pick n Pay,No Name Black Perforated Refuse Bags 750mm x 950mm 20 Pack,32.99,,
Pick n Pay,Beacon Wonder Bar Milk Chocolate,7.99,,
Pick n Pay,Steri Stumpie Chocolate Milk 350ml,14.99,17.99,
Pick n Pay,Lay's Sour Cream & Onion Flavoured Potato Chips 120g,23.99,,
Pick n Pay,Stoney Extra Ginger Beer 2L,19.99,,
Pick n Pay,Snowflake Cake Flour 2.5kg,34.99,41.99,
Pick n Pay,Liqui-Fruit Mango Orange Fruit Juice 1L,36.99,,Combo For R65.00
Pick n Pay,Colgate Maximum Cavity Protection Flouride & Calcium Toothpaste 100ml,31.99,,R21.99 (Smart Price)
Pick n Pay,Bakers Red Label Lemon Creams 200g,28.99,,
Pick n Pay,Nestle KitKat 4 Finger Caramel Gold Chocolate Bar 41.5g,15.99,,
Pick n Pay,Aquafresh Fresh & Minty Toothpaste 100ml,25.99,,
Pick n Pay,Doritos Supreme Cheese 145g,23.99,,Combo For R279.99 (Smart Price)
Pick n Pay,Tastic Rice 10kg,219.99,,
Pick n Pay,Crown Cooking Oil 2L,64.99,78.99,
Pick n Pay,Truda Honey & Mustard Flavoured Pretzels 30g,5.99,,
Pick n Pay,Bakers Blue Label Marie 200g,21.99,,
Pick n Pay,Nestle KitKat Chunky Milk Chocolate Bar 40g,15.99,,
Pick n Pay,Bakers Biscuits Choc-Kits 200g,44.99,,R33.99 (Smart Price)
Pick n Pay,No Name Cooking Oil 750ml,31.99,,
Pick n Pay,Henties Juice Drink 10% Berry 250ml,5.0,6.99,
Pick n Pay,Nescafe Classic Full & Bold Instant Coffee Refill Pack 230g,144.99,,R109.99 (Smart Price)
Pick n Pay,PnP Bulk Stewing Beef with Bone,139.99,,
Pick n Pay,D'Lite Cooking Oil 2l,69.99,,
Pick n Pay,Nestle Bar One Mini Bag 189g,62.99,,
Pick n Pay,Sunlight Regular Degreasing Dishwashing Liquid Detergent 1.5l,76.99,,
Pick n Pay,Black Cat Smooth Peanut Butter 800g,89.99,,
Pick n Pay,Ouma Chunky Buttermilk Rusks 500g,59.99,,R45.99 (Smart Price)
Pick n Pay,Wellington's Smooth Tomato Sauce 700ml,38.99,,2 For R60.00
Pick n Pay,Domestos Regular Multipurpose Stain Removal Thick Bleach Cleaner 750ml,35.99,,2 For R55.00 (Smart Price)
Pick n Pay,Raid Dual Purpose Odourless 300ml,46.99,,
Pick n Pay,Purity Pouch Mixed Berries 110ml from 6 Months,16.99,,4 For R50.00 (Smart Price)
Pick n Pay,McCain Traditional  Style Slap Chips 1kg,62.99,,
Pick n Pay,Sta-Soft Aromatherapy Indulgence Fabric Softener Refill 500ml,48.99,,R29.99 (Smart Price)
Pick n Pay,No Name Lemon Dishwashing Liquid Refill 750ml,22.99,,
Pick n Pay,Pringles Sour Cream & Onion Potato Chips 165g,58.99,,2 For R99.00 (Smart Price)
Pick n Pay,No Name Live Well Quick Cooking Oats 1kg,38.99,,
Pick n Pay,Rainbow Original Chicken Polony 1kg,72.99,92.99,
Pick n Pay,PnP Bulk Lamb Braai Chops,159.99,,
Pick n Pay,PnP White Burger Bun 4 Pack,19.99,,Combo For R119.99 (Smart Price)
Pick n Pay,Simba Sweet Chilli Fritos 120g,18.99,,
Pick n Pay,Jacobs Gold Instant Coffee 230g,139.99,209.99,
Pick n Pay,Kellogg's Coco Pops Original 350g,59.99,,R44.99 (Smart Price)
Pick n Pay,Protex Deep Clean Tissue Oil Bar Soap 175g,18.99,,2 For R27.00 (Smart Price)
Pick n Pay,Parmalat Sliced Processed Gouda Cheese 400g,59.99,79.99,
Pick n Pay,PnP Pie Steak & Kidney,27.99,31.49,
Pick n Pay,PnP Fresh Cream 250ml,23.99,29.99,
Pick n Pay,Knorrox Chicken Stock Cubes 24 x 10g,26.99,,
Pick n Pay,Cadbury Cashew & Coconut Chocolate Slab 80g,23.99,,
Pick n Pay,Eskort Rindless Back Bacon 200g,49.99,,3 For R99.00
Pick n Pay,Sta-Soft Baby Fabric Softener Refill 500ml,48.99,,R29.99 (Smart Price)
Pick n Pay,Cadbury Bournville Dark Chocolate Slab 80g,23.99,,
Pick n Pay,Knorrox Beef Stock Cubes 24 x 10g,26.99,,
Pick n Pay,Knorr Cup-A-Soup Chicken Noodle Instant Soup 4 x 20g,24.99,,2 For R30.00 (Smart Price)
