store,name,price,old_price,promotion
Pick n Pay,Clover Low Fat Smooth Mix Fruit Dairy Snack 6 x 100g,19.99,23.99,
Pick n Pay,Sunlight Antibacterial Dishwashing Liquid 750ml,39.99,,R31.99 (Smart Price)
Pick n Pay,PnP Pork Braai Chops,89.99,,
Pick n Pay,Red Bull Summer Edition White Peach Flavour Energy Drink 250ml,19.99,,2 For R27.00
Pick n Pay,Knorrox Beef Stock Cubes 24 x 10g,27.99,,R21.99 (Smart Price)
Pick n Pay,Dettol Soap Original 175g,19.99,,2 For R28.00 (Smart Price)
Pick n Pay,PnP Live Well Skinless Chicken Breast 4 Pack,50.99399999999999,,
Pick n Pay,Brutal Fruit Ruby Apple Spritzer 6 x 275ml,94.99,,
Pick n Pay,Colgate Maximum Cavity Protection Gel Toothpaste 100ml,32.99,,2 For R46.00 (Smart Price)
Pick n Pay,Lay's Spring Onion & Cheese Flavoured Potato Chips 120g,23.99,,
Pick n Pay,Beacon Pink & White Marshmallows 135g,21.99,,2 For R30.00 (Smart Price)
Pick n Pay,Nestle KitKat 4 Finger Milk 41.5g,15.99,,
Pick n Pay,PnP Live Well Chopped Peeled Tomatoes 400g,23.99,,
Pick n Pay,Five Roses Tagless Tea Bags 100 Pack,69.99,,
Pick n Pay,Country Fresh Vanilla Ice Cream With Chocolate Syrup 1.8L,79.99,,
Pick n Pay,Protex Deep Clean Tissue Oil Bar Soap 175g,19.99,,2 For R28.00 (Smart Price)
Pick n Pay,Sparletta Sparberry 2L,17.99,,
Pick n Pay,Lucky Star Sardines in Vegetable Oil 120g,24.99,,2 For R40.00 (Smart Price)
Pick n Pay,I&J Original Fish Fingers 600g,92.99,,R69.99 (Smart Price)
Pick n Pay,Simba Ghost Pops 100g,16.99,,
Pick n Pay,Indomie Instant Noodles Mi Goreng Hot & Spicy 80g,8.99,,
Pick n Pay,Truda Salted Knots Pretzels 30g,5.99,,
Pick n Pay,Coca-Cola Zero 1.5L,14.99,,
Pick n Pay,Corona Extra Premium Beer 6 x 355ml,114.99,,2 For R190.00 (Smart Price)
Pick n Pay,Simba Potato Chips Cheese & Onion 120g,20.99,,3 For R49.00 (Smart Price)
Pick n Pay,PnP All Purpose Potatoes 7kg,54.99,,
Pick n Pay,Knorr Minestrone Thickening Soup 50g,7.99,,4 For R22.00 (Smart Price)
Pick n Pay,Bakers Biscuits Choc-Kits 200g,44.99,,R33.99 (Smart Price)
Pick n Pay,Sta-Soft Aromatherapy Indulgence Fabric Softener 2L,76.99,,2 For R100.00 (Smart Price)
Pick n Pay,Willards Flings Original Maize Snack 150g,22.99,,2 For R38.00 (Smart Price)
Pick n Pay,Eskort Shoulder Bacon 200g,39.99,,
Pick n Pay,Mrs H.S.Ball's Original Chutney 470g,45.99,,
Pick n Pay,Maq Auto Washing Powder 2kg,79.99,,
Pick n Pay,Domestos Summer Multipurpose Stain Removal Thick Bleach Cleaner 750ml,35.99,,2 For R55.00 (Smart Price)
Pick n Pay,PnP Avocado,14.99,,
Pick n Pay,Rhodes Tomato & Onion Mix 410g,18.99,,R17.99 (Smart Price)
